"GTDB_Phylum","mean_coding_density","mean_gc_percentage","mean_genome_size","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Acidobacteriota",89.7271557074582,59.899692844037,4487419.1173982,9.67848324867428,-3.05419774072898,0.660080753251684,-0.20772969847031,0.654726230703081,0.946614380592457,1.11590218335262,0.156543289659949,0.560712783324969,-1.9251252618096
"Actinomycetota",90.0059474135288,65.4139626025857,4144176.53583298,13.1707783264756,-1.54804827471916,4.92374175798122,3.71869954728053,-3.07600463562214,-0.497809373816433,0.154699864366163,1.65567808353048,-3.72379174862796,-5.39493565773839
"Aquificota",94.595936643805,40.8689046859041,1512116.03030303,-10.7969771609226,9.00613807951724,11.0756303775703,-8.69658326871641,6.55000284738756,13.2518097848257,0.616337220882377,1.13719184204042,-2.17194284182086,-3.06355544926408
"Bipolaricaulota",90.4407710349554,60.2824404905915,1663482.41509434,11.6625297842877,-2.27396378521428,-3.51959500612006,-12.1129070417427,1.15309631776116,1.96792454741277,2.02536828435687,-0.675477437716533,8.79752572408568,4.69941820142097
"Caldisericota",91.9718875517411,43.6796574869979,1483375.55102041,-8.94897153994827,3.63248133411377,-0.885321062155415,-7.51863248631585,-2.28046700373677,-3.99761834572241,5.66218269288092,-10.6156902964451,-4.64942265272673,-0.562061076898664
"Chlamydiota",90.3776472650637,41.7629945297817,1786360.25401929,-4.28199938969274,0.559329508350295,-10.3425771807978,3.84165090977255,1.12264064328489,3.21032406975717,2.0094551480866,-0.12754316532237,5.01564906129948,0.283335018628742
"Chloroflexota",89.2775499837863,58.2116619149959,3339819.08084487,8.42091030028807,-5.17974459964452,-1.16011301030685,-2.00062340740479,-1.1970467074908,0.531673946273789,0.0629853274991739,-0.261845813378709,-2.17219425099181,-0.518392530655535
"Cloacimonadota",90.1541978861197,41.2551416022774,2363291.32867133,-7.76098892992472,-8.26004956198923,0.720992344411405,9.31066415210528,4.68319225965834,2.39326032769458,-4.23022045515069,-3.43637832737628,0.0413802832677349,0.98771477551859
"Cyanobacteriota",87.0500484030792,41.9558649248796,3599459.83107498,-2.00343096732602,-12.8322841531669,0.604431753879283,-1.09175096182271,-4.32611506603452,2.39498516291763,3.72104218174457,-2.00663678813092,-0.373278770473024,-5.45449405010094
"Deferribacterota",90.9438961161011,38.0660278451586,2274878.24,-12.2868655123182,5.31630280999113,3.0149170044472,5.73698949941355,1.57065281831839,-5.05617823380856,-2.37795709900312,5.43086145067603,3.1619573783347,-4.45498374705368
"Deinococcota",89.7077878111382,65.5419003618267,3301677.14691943,15.617488429629,7.1996702141199,1.48698555340202,-0.831763021675978,-8.91274244474171,3.85922397546477,-9.91689922995085,-3.81676342777636,3.25437953677207,-0.891379289952476
"Dependentiae",89.448863781126,37.8054342561372,1107918.37398374,-8.37219360127072,7.34024977634314,-19.2440732155037,0.998116318476463,-4.68690797682927,2.38677842909918,3.129504515176,6.79321518326743,-1.53156150935259,-2.15658959998257
"Eisenbacteria",90.9315578446974,66.836731089711,3573950.2,18.2225958583786,10.4552700791266,1.14803822283729,2.82229301994394,6.42316732063282,-1.23827260846766,4.84340936013319,0.837872515099397,-2.96413722095955,3.66032926046099
"Fibrobacterota",90.8337427034459,49.4512434388746,3427066.21649485,-0.455103680773755,-3.7491149674139,4.34760070211862,6.27824219978865,1.32033554831653,-1.99683382014959,2.26419867916967,-0.975822625328572,3.78341316745932,-3.36383971838917
"Fusobacteriota",89.3004074153241,29.6802625613469,2189700.49275362,-16.3420848502637,-1.49192538767762,16.4707816865408,3.38401585641883,-9.9594998682082,0.363306359092137,3.93433229056895,4.67897130921597,0.703976140413199,7.44732429982135
"Gemmatimonadota",92.0018936835984,66.3959565915031,3483828.22429907,19.5647358260071,1.30146812987222,4.23434950009445,1.10034416330324,-1.95945991130911,-1.20926402187385,-0.695536521842492,2.66995396262652,-1.90428999708543,-0.705246929229614
"Krumholzibacteriota",91.4217279371806,61.7223017741599,3347768.97849462,12.0284320737866,4.5402466283958,1.18281461412424,1.91984339195863,3.33786478879558,-5.49372307490359,0.0908978720339509,1.50653081715922,-2.38125644751261,2.75986032935653
"Margulisbacteria",93.3597023745693,44.1642767048019,1629091.62068966,-4.02229186798713,4.59577799542446,-8.65633710712263,6.26567756341291,0.673235849977333,2.65930928023725,1.2107099416342,-1.35066832996406,-1.13320347958326,2.53318870935893
"Marinisomatota",93.1469679404853,38.7551252178079,1968543.82181818,-9.53435843266465,-7.26749350190205,-2.95129082433497,3.8041947897505,2.64423388576653,-1.43942541015261,-4.13686848500231,-4.72269539683654,-1.70326062940665,2.28574261629741
"Patescibacteria",89.7075960024911,42.5177749150382,854249.450624042,-5.23180433089607,8.25669178791026,-3.21258458063512,0.39720563441989,-6.90149579055768,-0.545917843899873,-1.71159897551169,-3.18032294719176,-1.61472737511991,2.27504077175993
"Poribacteria",87.4687565393605,47.4322206578223,5301988.44680851,1.04790756038556,-18.4768556208841,-5.65659647045729,-8.8939191057912,0.107258455552888,0.469461250802831,-3.21683845420961,5.94844816359916,-4.7942795793122,2.89056535791248
"Spirochaetota",90.938290682178,46.0970561374243,2824039.18694362,-3.60961450360868,0.469493051524204,0.660163698728899,2.50871144608563,0.689269211046785,-2.41869690215509,0.661993700567767,-1.64596035515394,2.34688385351159,-1.05621079494483
"Synergistota",90.7255916257407,52.414308631616,2240484.41346154,-0.770761949496954,-3.24253773135976,2.97363920076874,-5.84437957760495,2.30523748407201,-6.08223001244099,3.94854973415369,0.251809296140216,4.27179130406525,-2.45634546488079
