"Model","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Zixibacteria",-0.153111181235216,2.32892536627435,1.70769705530914,6.18513660107169,6.94173848747003,2.30803362303162,-1.17333665848996,1.15556920032535,0.110931299613458,-3.09896098516746
"Eisenbacteria",-17.6707058743401,-10.4016169218347,1.91849238580689,2.22622878884405,5.92722547091245,-1.91128213265127,5.12519037529331,-1.40085490108781,-3.64992255741038,-2.80144112026157
"Deferribacterota",11.5870419713442,-5.44989663980114,3.36890366423857,5.13208846264437,1.48447915610766,-4.92031019167318,-2.76402904898991,-5.49180807532958,3.82142433198464,3.65055939621769
"Chlamydiota",3.78972658324974,-1.18175574027195,-9.36366670495415,4.67563050248259,1.05508640754779,2.68886453801331,1.86281776593323,-0.190282380490894,4.41588573672287,-0.353795782177713
"Synergistota",0.809661118384878,3.56821702903187,2.05166249696961,-5.88041039976179,1.27332000718533,-6.20168866572372,3.17387816166987,-1.10945857655187,4.31848173480981,1.70446853741826
"Fibrobacterota",0.433285838761238,3.59030564686057,4.60287588023672,5.75361801903989,0.858468407766865,-2.43909085307224,1.9131095159418,0.493266386164323,4.51352368120298,2.48502309835398
"Deinococcota",-14.7382310421628,-6.74014497554585,2.01697174340823,-0.939835164415858,-8.03141815431179,4.40141160798205,-9.80492215587294,4.31828847237897,2.96253313218241,0.390347432900962
"Krumholzibacteriota",-11.7020444859304,-4.52806183782131,1.3360052406032,1.60811374635504,2.57328539575079,-5.27891694396353,-0.010021706016944,-1.65573183447338,-3.01547313095632,-2.39343705706284
"Marinisomatota",8.9314003349473,6.86685702454526,-3.14155922194304,4.43477688475638,2.39337300776857,-1.78442297441906,-3.31790259915969,5.07071448990538,-2.09579490089187,-2.0142868025364
"Aquificota",11.0434292167415,-7.81361016072616,10.5991163555974,-9.30844606389225,8.0719020882466,12.0378644770754,0.898159341796257,-0.0914752455672679,-1.26802529289977,3.2662654082152
"Chloroflexota",-7.93209342100495,5.06294929968671,-1.4222651691761,-1.96585639053255,-0.97940931045574,0.666832436126753,0.17501197956899,0.426946248026818,-1.77734112221565,0.556224803976772
"Cyanobacteriota",2.17616859159613,12.8006975867517,0.113172112214659,-0.612351808366535,-4.246212626425,1.94396110389717,3.54888893190088,1.32651669491859,0.0631965453203047,5.79405704171633
"Caldisericota",8.55512718468659,-3.4880361072939,-1.43765547897253,-7.61645514032691,-3.29551880179789,-4.21613332183823,6.54162156100985,10.0090875030552,-3.67331020867653,1.02431568081291
"Acidobacteriota",-9.31530427296163,3.18316080071636,0.542995604893938,-0.178406574524842,0.624883262505686,0.812606577037474,1.05690218074481,-0.145362546032231,0.590022841506771,2.13511147223589
"Dependentiae",7.84684601065885,-8.44863181827909,-17.8715424981349,1.94032467895965,-4.25768952327289,3.3948323295555,2.39086434774662,-6.51300588192892,-1.43750525268453,2.75903608850752
"Thermotogota",14.2494444519044,-6.66066811326645,-0.443684076270442,-11.0129707036272,3.12657254890295,-7.12470965312003,-7.62001129044257,-1.76169597931728,-1.47242921151058,0.6299772109819
"Poribacteria",-0.841513429183531,18.2513356967789,-7.42517167553844,-7.73613762856402,0.72303706186408,1.29256680273986,-3.26263610052042,-5.31698794163384,-5.08918719839094,-2.46115806529648
"Patescibacteria",5.01376497640918,-8.49822027576328,-2.59294456662427,0.289063525306515,-6.81964927405969,0.194560253148288,-1.6721413844989,2.91378585806282,-1.57584458057898,-2.44915812714022
"Fusobacteriota",15.8845842975191,2.49561998933335,16.2264935290548,2.3422189194062,-9.56795890133588,1.4123551161293,3.23220433127127,-5.16430748565556,-0.689667745579886,-7.06768958782491
"Actinomycetota",-12.4306178267315,1.55408760291388,5.16326700371198,2.96280279605067,-2.86745990020512,0.147394973036052,-0.0953431361628367,-1.20987579065546,-2.73334485862689,5.60373318859026
"Spirochaetota",3.20889340955163,-0.631080737866942,0.832069846122436,2.35990444379218,0.198288598248967,-2.56245305891022,0.562090798202225,1.27781258054589,2.32606813558028,0.775943606145862
"Cloacimonadota",7.18683584566379,7.91935940465982,1.01277117615176,9.66917664671145,4.85603484142636,1.44274440592712,-3.53024834137249,3.93574463640028,-0.41521266782299,-0.609100085789301
"Bipolaricaulota",-10.9742621927043,2.65523641560426,-4.53547384845361,-11.4136276774912,1.0952913832537,1.75204604510094,2.00122725987989,0.326299405807795,8.5560341774103,-5.75505136846659
"Margulisbacteria",3.69224528418121,-5.49415484995098,-7.68028467799461,6.532610799651,0.67915550014437,2.59515482450765,1.67333860671534,1.20145231098768,-0.75333643881217,-2.84619394931331
"Gemmatimonadota",-18.6505713893453,-0.940873684735294,4.42175382374275,0.552802736431514,-1.81682513323819,-0.65222131793701,-0.904712736147686,-2.40463714785494,-2.03170644927635,1.07520996496325
