"GTDB_Phylum","mean_coding_density","mean_gc_percentage","mean_genome_size","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Acidobacteriota",89.7271557074582,59.899692844037,4487419.1173982,-9.31530427296163,3.18316080071636,0.542995604893938,-0.178406574524842,0.624883262505686,0.812606577037474,1.05690218074481,-0.145362546032231,0.590022841506771,2.13511147223589
"Actinomycetota",90.0059474135288,65.4139626025857,4144176.53583298,-12.4306178267315,1.55408760291388,5.16326700371198,2.96280279605067,-2.86745990020512,0.147394973036052,-0.0953431361628367,-1.20987579065546,-2.73334485862689,5.60373318859026
"Aquificota",94.595936643805,40.8689046859041,1512116.03030303,11.0434292167415,-7.81361016072616,10.5991163555974,-9.30844606389225,8.0719020882466,12.0378644770754,0.898159341796257,-0.0914752455672679,-1.26802529289977,3.2662654082152
"Bipolaricaulota",90.4407710349554,60.2824404905915,1663482.41509434,-10.9742621927043,2.65523641560426,-4.53547384845361,-11.4136276774912,1.0952913832537,1.75204604510094,2.00122725987989,0.326299405807795,8.5560341774103,-5.75505136846659
"Caldisericota",91.9718875517411,43.6796574869979,1483375.55102041,8.55512718468659,-3.4880361072939,-1.43765547897253,-7.61645514032691,-3.29551880179789,-4.21613332183823,6.54162156100985,10.0090875030552,-3.67331020867653,1.02431568081291
"Chlamydiota",90.3776472650637,41.7629945297817,1786360.25401929,3.78972658324974,-1.18175574027195,-9.36366670495415,4.67563050248259,1.05508640754779,2.68886453801331,1.86281776593323,-0.190282380490894,4.41588573672287,-0.353795782177713
"Chloroflexota",89.2775499837863,58.2116619149959,3339819.08084487,-7.93209342100495,5.06294929968671,-1.4222651691761,-1.96585639053255,-0.97940931045574,0.666832436126753,0.17501197956899,0.426946248026818,-1.77734112221565,0.556224803976772
"Cloacimonadota",90.1541978861197,41.2551416022774,2363291.32867133,7.18683584566379,7.91935940465982,1.01277117615176,9.66917664671145,4.85603484142636,1.44274440592712,-3.53024834137249,3.93574463640028,-0.41521266782299,-0.609100085789301
"Cyanobacteriota",87.0500484030792,41.9558649248796,3599459.83107498,2.17616859159613,12.8006975867517,0.113172112214659,-0.612351808366535,-4.246212626425,1.94396110389717,3.54888893190088,1.32651669491859,0.0631965453203047,5.79405704171633
"Deferribacterota",90.9438961161011,38.0660278451586,2274878.24,11.5870419713442,-5.44989663980114,3.36890366423857,5.13208846264437,1.48447915610766,-4.92031019167318,-2.76402904898991,-5.49180807532958,3.82142433198464,3.65055939621769
"Deinococcota",89.7077878111382,65.5419003618267,3301677.14691943,-14.7382310421628,-6.74014497554585,2.01697174340823,-0.939835164415858,-8.03141815431179,4.40141160798205,-9.80492215587294,4.31828847237897,2.96253313218241,0.390347432900962
"Dependentiae",89.448863781126,37.8054342561372,1107918.37398374,7.84684601065885,-8.44863181827909,-17.8715424981349,1.94032467895965,-4.25768952327289,3.3948323295555,2.39086434774662,-6.51300588192892,-1.43750525268453,2.75903608850752
"Eisenbacteria",90.9315578446974,66.836731089711,3573950.2,-17.6707058743401,-10.4016169218347,1.91849238580689,2.22622878884405,5.92722547091245,-1.91128213265127,5.12519037529331,-1.40085490108781,-3.64992255741038,-2.80144112026157
"Fibrobacterota",90.8337427034459,49.4512434388746,3427066.21649485,0.433285838761238,3.59030564686057,4.60287588023672,5.75361801903989,0.858468407766865,-2.43909085307224,1.9131095159418,0.493266386164323,4.51352368120298,2.48502309835398
"Fusobacteriota",89.3004074153241,29.6802625613469,2189700.49275362,15.8845842975191,2.49561998933335,16.2264935290548,2.3422189194062,-9.56795890133588,1.4123551161293,3.23220433127127,-5.16430748565556,-0.689667745579886,-7.06768958782491
"Gemmatimonadota",92.0018936835984,66.3959565915031,3483828.22429907,-18.6505713893453,-0.940873684735294,4.42175382374275,0.552802736431514,-1.81682513323819,-0.65222131793701,-0.904712736147686,-2.40463714785494,-2.03170644927635,1.07520996496325
"Krumholzibacteriota",91.4217279371806,61.7223017741599,3347768.97849462,-11.7020444859304,-4.52806183782131,1.3360052406032,1.60811374635504,2.57328539575079,-5.27891694396353,-0.010021706016944,-1.65573183447338,-3.01547313095632,-2.39343705706284
"Margulisbacteria",93.3597023745693,44.1642767048019,1629091.62068966,3.69224528418121,-5.49415484995098,-7.68028467799461,6.532610799651,0.67915550014437,2.59515482450765,1.67333860671534,1.20145231098768,-0.75333643881217,-2.84619394931331
"Marinisomatota",93.1469679404853,38.7551252178079,1968543.82181818,8.9314003349473,6.86685702454526,-3.14155922194304,4.43477688475638,2.39337300776857,-1.78442297441906,-3.31790259915969,5.07071448990538,-2.09579490089187,-2.0142868025364
"Patescibacteria",89.7075960024911,42.5177749150382,854249.450624042,5.01376497640918,-8.49822027576328,-2.59294456662427,0.289063525306515,-6.81964927405969,0.194560253148288,-1.6721413844989,2.91378585806282,-1.57584458057898,-2.44915812714022
"Poribacteria",87.4687565393605,47.4322206578223,5301988.44680851,-0.841513429183531,18.2513356967789,-7.42517167553844,-7.73613762856402,0.72303706186408,1.29256680273986,-3.26263610052042,-5.31698794163384,-5.08918719839094,-2.46115806529648
"Spirochaetota",90.938290682178,46.0970561374243,2824039.18694362,3.20889340955163,-0.631080737866942,0.832069846122436,2.35990444379218,0.198288598248967,-2.56245305891022,0.562090798202225,1.27781258054589,2.32606813558028,0.775943606145862
"Synergistota",90.7255916257407,52.414308631616,2240484.41346154,0.809661118384878,3.56821702903187,2.05166249696961,-5.88041039976179,1.27332000718533,-6.20168866572372,3.17387816166987,-1.10945857655187,4.31848173480981,1.70446853741826
