result_name,total_tree_length,internal_tree_length,log_likelihood,log_likelihood_sd,log_likelihood_Unconstrained,num_free_params,AIC,AICc,BIC,cpu_time,wc_time,loop,step
p__Gemmatimonadota_150,7607.3552,2657.1603,-8591613.1716,22291.3532,-1316625.8195,97930.0,17379086.3432,17518270.037,18394667.9179,342100.0,7408.0,1,subtree_update
p__Gemmatimonadota_150,7995.9084,2779.1741,-8560228.6634,22160.5473,-1316625.8195,90804.0,17302065.3268,17415846.7767,18243746.8269,1900000.0,39290.0,1,model_update
p__Gemmatimonadota_150,91.8192,32.3206,-1493673.6116,18036.2338,-58690.0478,1069.0,2989485.2233,2989891.5572,2996764.9666,18082.0,370.13,1,test_concat
p__Gemmatimonadota_150,7949.5152,2743.032,-8729390.6552,23366.4008,-1636367.4516,91167.0,17641115.3104,17719337.6346,18609648.2841,363400.0,8242.0,2,subtree_update
p__Gemmatimonadota_150,7933.6254,2734.3223,-8737429.5263,23389.3007,-1636367.4516,90463.0,17655785.0527,17732549.6632,18616838.9253,1614000.0,33240.0,2,model_update
p__Gemmatimonadota_150,1554.2015,546.1602,-1547791.2469,9570.1253,-322212.4723,17290.0,3130162.4938,3144064.765,3285895.0347,3854.0,173.3,final_test_partition,test_partition
p__Gemmatimonadota_150,91.4994,32.2086,-1493783.9861,18040.2904,-58690.0478,1069.0,2989705.9722,2990112.3062,2996985.7156,24225.7,500.26,final_test_concat,test_concat
