model1,model2,Q_params correlation,state_freq correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_matrix distance
p__Patescibacteria_100_2,p__Patescibacteria_100_2,1.0,1.0,1.0,0.0,0.0,0.0
p__Patescibacteria_100_2,p__Patescibacteria_50_2,0.9967377666086137,0.9978554065364781,0.998713800189523,0.010564334063596324,0.008485388500239699,0.2715103560801004
p__Patescibacteria_100_2,p__Patescibacteria_150_2,0.9960871344696752,0.9989915612891062,0.9990363431937912,0.011107527457591134,0.006540028669661929,0.23378261182038118
p__Patescibacteria_100_2,p__Patescibacteria_200_2,0.995852621526011,0.9974896716983256,0.9977844252697985,0.011580436428427775,0.009990565049085054,0.36434473142526125
p__Patescibacteria_100_2,p__Patescibacteria_250_2,0.9947621622562511,0.9973657726487136,0.9969782225419935,0.012873760329924539,0.011156015372882919,0.43116505157000584
p__Patescibacteria_50_2,p__Patescibacteria_100_2,0.9967377666086137,0.9978554065364781,0.998713800189523,0.010564334063596324,0.008485388500239699,0.2715103560801004
p__Patescibacteria_50_2,p__Patescibacteria_50_2,1.0,1.0,1.0,0.0,0.0,0.0
p__Patescibacteria_50_2,p__Patescibacteria_150_2,0.9941800517120641,0.9945525404792936,0.9970401320226435,0.013961181030719938,0.014311481998730948,0.41273676206025206
p__Patescibacteria_50_2,p__Patescibacteria_200_2,0.9888330147504596,0.9912402366141706,0.9940949619322232,0.01942155236521401,0.01801942746038286,0.5916816822003176
p__Patescibacteria_50_2,p__Patescibacteria_250_2,0.9880907889592737,0.9915852118370028,0.9928383274945264,0.019892346700138407,0.01863425987261099,0.657861497262881
p__Patescibacteria_150_2,p__Patescibacteria_100_2,0.9960871344696752,0.9989915612891062,0.9990363431937912,0.011107527457591134,0.006540028669661929,0.23378261182038118
p__Patescibacteria_150_2,p__Patescibacteria_50_2,0.9941800517120641,0.9945525404792936,0.9970401320226435,0.013961181030719938,0.014311481998730948,0.41273676206025206
p__Patescibacteria_150_2,p__Patescibacteria_150_2,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
p__Patescibacteria_150_2,p__Patescibacteria_200_2,0.9940803927740496,0.9994760809451299,0.9982221118712125,0.013696860801643517,0.004294155213776042,0.3234643078261836
p__Patescibacteria_150_2,p__Patescibacteria_250_2,0.996437215952715,0.9992620963149069,0.9985600069247699,0.010611809921307292,0.005766540904216328,0.3011558733538571
p__Patescibacteria_200_2,p__Patescibacteria_100_2,0.995852621526011,0.9974896716983256,0.9977844252697985,0.011580436428427775,0.009990565049085054,0.36434473142526125
p__Patescibacteria_200_2,p__Patescibacteria_50_2,0.9888330147504596,0.9912402366141706,0.9940949619322232,0.01942155236521401,0.01801942746038286,0.5916816822003176
p__Patescibacteria_200_2,p__Patescibacteria_150_2,0.9940803927740496,0.9994760809451299,0.9982221118712125,0.013696860801643517,0.004294155213776042,0.3234643078261836
p__Patescibacteria_200_2,p__Patescibacteria_200_2,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
p__Patescibacteria_200_2,p__Patescibacteria_250_2,0.9982167080154201,0.9994137107903132,0.9994513240048573,0.007433840963144917,0.0047836158917705755,0.18103151989116562
p__Patescibacteria_250_2,p__Patescibacteria_100_2,0.9947621622562511,0.9973657726487136,0.9969782225419935,0.012873760329924539,0.011156015372882919,0.43116505157000584
p__Patescibacteria_250_2,p__Patescibacteria_50_2,0.9880907889592737,0.9915852118370028,0.9928383274945264,0.019892346700138407,0.01863425987261099,0.657861497262881
p__Patescibacteria_250_2,p__Patescibacteria_150_2,0.996437215952715,0.9992620963149069,0.9985600069247699,0.010611809921307292,0.005766540904216328,0.3011558733538571
p__Patescibacteria_250_2,p__Patescibacteria_200_2,0.9982167080154201,0.9994137107903132,0.9994513240048573,0.007433840963144917,0.0047836158917705755,0.18103151989116562
p__Patescibacteria_250_2,p__Patescibacteria_250_2,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
