model1,model2,Q_params correlation,state_freq correlation,Q_exchange correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_exchange distance,Q_matrix distance
Q.p__Eisenbacteria,Q.p__Eisenbacteria,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Q.p__Eisenbacteria,Q.p__Gemmatimonadota,0.9601155325724865,0.9799468314101183,0.9601155325724873,0.9892964740236891,0.03994202284244367,0.04058080121190315,17.54726550364909,0.7699310771354044
Q.p__Eisenbacteria,Q.p__Thermotogota,0.9340596640437117,0.5585691976736338,0.9340596640437115,0.8599207130263599,0.044058157232316854,0.13631331096044877,14.852400767609538,1.6620503868344896
Q.p__Eisenbacteria,Q.p__Cloacimonadota,0.969160932544149,0.5369357774235037,0.9691609325441496,0.8761679179970598,0.030145137563516854,0.1368154392676499,10.527061669942082,1.5595560437972231
Q.p__Eisenbacteria,Q.p__Fusobacteriota,0.9263960508874216,0.4100221012919161,0.9263960508874224,0.8035038909465644,0.046757646270960684,0.169841078579359,15.186209386710528,1.9950794639268439
Q.p__Eisenbacteria,Q.p__Caldisericota,0.9419109438253146,0.6471503295272735,0.941910943825315,0.8873523437177326,0.04095609691858369,0.11647185724457217,14.609072137341522,1.4344942283992035
Q.p__Eisenbacteria,Q.p__Zixibacteria,0.9690419798752796,0.8355080463472616,0.96904197987528,0.9468798402331463,0.03140960959976603,0.08159845822685621,10.010781102018777,1.068119395257133
Q.p__Eisenbacteria,Q.p__Marinisomatota,0.9546917080003378,0.4723362404986658,0.954691708000338,0.8599714738403071,0.03731567290787244,0.14552260322712757,12.636574104377551,1.6593658770354804
Q.p__Eisenbacteria,Q.p__Margulisbacteria,0.9816214608526512,0.6974082878282843,0.9816214608526524,0.9263957917325092,0.02348717815170533,0.10796940302696871,9.834492261244124,1.2413641007331997
Q.p__Eisenbacteria,Q.p__Fibrobacterota,0.9783416219409399,0.8542653810028789,0.9783416219409397,0.9532229154710469,0.026056052019198816,0.0772843543286738,8.709178477498527,0.9900222044449624
Q.p__Eisenbacteria,Q.p__Bipolaricaulota,0.956169879372952,0.9829361528669356,0.9561698793729531,0.9723205567202741,0.03590653141976221,0.027331343710106898,11.81379577123079,0.6982226565381101
Q.p__Eisenbacteria,Q.p__Spirochaetota,0.9796812713109352,0.797909827451632,0.9796812713109354,0.941281642457119,0.02445653538029559,0.08959405039398542,9.435527037810758,1.120413998465599
Q.p__Eisenbacteria,Q.p__Chlamydiota,0.9757461638352526,0.6872473852279974,0.9757461638352537,0.9159041549891155,0.027259196382000413,0.11207302788360811,9.104218144142648,1.3166125516640461
Q.p__Eisenbacteria,Q.p__Synergistota,0.9570212403955517,0.886205014209469,0.9570212403955515,0.9534207828996234,0.03579373963605047,0.06876876685676427,11.705949649705675,0.9886430255001678
Q.p__Eisenbacteria,Q.p__Deinococcota,0.9821948870253634,0.9864032857425067,0.9821948870253641,0.9899064475285786,0.027177368334686088,0.02854894866715761,11.578993086830021,0.7235502830577618
Q.p__Eisenbacteria,Q.p__Poribacteria,0.9160071392296539,0.8801010417897214,0.9160071392296546,0.897254655023705,0.050334385567763824,0.07169793987974829,16.259013550263575,1.3572613919679228
Q.p__Eisenbacteria,Q.p__Krumholzibacteriota,0.9911003351462686,0.9890392451908341,0.9911003351462685,0.9912102350006076,0.016427056361021486,0.02225815234919556,5.444328462449924,0.4009821274037002
Q.p__Eisenbacteria,Q.p__Deferribacterota,0.9640847203547467,0.6155289187547754,0.9640847203547469,0.887877411548855,0.032782553744487075,0.12122055357900326,12.07844685809193,1.4306436184150715
Q.p__Eisenbacteria,Q.p__Dependentiae,0.9641977203794498,0.6459730228669099,0.9641977203794501,0.9088507054330613,0.03261738990195535,0.11861660182284774,11.496964845366092,1.4329157809144208
Q.p__Gemmatimonadota,Q.p__Eisenbacteria,0.9601155325724865,0.9799468314101183,0.9601155325724873,0.9892964740236891,0.03994202284244367,0.04058080121190315,17.54726550364909,0.7699310771354044
Q.p__Gemmatimonadota,Q.p__Gemmatimonadota,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Q.p__Gemmatimonadota,Q.p__Thermotogota,0.8684276909844315,0.4664545065849402,0.8684276909844313,0.8247921781657058,0.06836581682104569,0.16478887341686638,28.15187112405967,2.156060979925806
Q.p__Gemmatimonadota,Q.p__Cloacimonadota,0.9511147053436814,0.46253161857880887,0.9511147053436817,0.846249346792776,0.04386064815308715,0.1630406130355256,21.332890044757534,2.0350535958199174
Q.p__Gemmatimonadota,Q.p__Fusobacteriota,0.861281153672766,0.32390854415950987,0.8612811536727665,0.7585971998809052,0.07012467791416961,0.19590123174191632,27.561443492335556,2.5207768954556182
Q.p__Gemmatimonadota,Q.p__Caldisericota,0.8817648154262588,0.5587255717989108,0.881764815426259,0.8590379197377036,0.0654630935779365,0.14616238787389868,28.08228808614756,1.9529750928858272
Q.p__Gemmatimonadota,Q.p__Zixibacteria,0.9723550107788568,0.7881265172097025,0.9723550107788572,0.9315505731926742,0.032935520611735734,0.10706095375999598,16.74094953275913,1.448782305265078
Q.p__Gemmatimonadota,Q.p__Marinisomatota,0.9375624949000821,0.3953846621673454,0.937562494900083,0.8335200024170808,0.04813431771702739,0.1720137642196112,22.937997527569827,2.129864956879417
