"Tree1","Tree2","RF_dist","nRF","wRF","KF_dist","SPR_dist","Path_dist","Tree1_BL","Tree2_BL","BL_diff_per"
"p__Acidobacteriota_lt_100_2","p__Acidobacteriota_lt_160_2",12,0.0032,1.4805,0.0797,4,11.7972,306.654890834,306.639984093,-0.00486108046718672
"p__Acidobacteriota_lt_100_2","p__Acidobacteriota_lt_250_3",46,0.0122,4.0421,0.192,14,49.2412,306.654890834,304.673081805,-0.6462668909699
"p__Acidobacteriota_lt_100_2","p__Acidobacteriota_lt_30_2",20,0.0053,5.5397,0.1646,8,60.3494,306.654890834,301.81844298,-1.57716312329032
"p__Acidobacteriota_lt_100_2","p__Acidobacteriota_lt_50_2",12,0.0032,6.0164,0.1622,4,56.0308,306.654890834,300.897597722,-1.87745028176204
"p__Acidobacteriota_lt_100_2","ref_tree",646,0.1711,94.7486,2.3296,194,750.322,306.654890834,224.21641,-26.8831456135575
"p__Acidobacteriota_lt_160_2","p__Acidobacteriota_lt_250_3",50,0.0132,4.9224,0.2059,15,57.5148,306.639984093,304.673081805,-0.641436991271005
"p__Acidobacteriota_lt_160_2","p__Acidobacteriota_lt_30_2",28,0.0074,5.5871,0.166,10,62.8956,306.639984093,301.81844298,-1.57237847740617
"p__Acidobacteriota_lt_160_2","p__Acidobacteriota_lt_50_2",24,0.0064,6.2305,0.1672,8,59.8315,306.639984093,300.897597722,-1.87268023378791
"p__Acidobacteriota_lt_160_2","ref_tree",642,0.17,94.6561,2.3201,195,753.4237,306.639984093,224.21641,-26.8795911716464
"p__Acidobacteriota_lt_250_3","p__Acidobacteriota_lt_30_2",62,0.0164,6.6294,0.2423,18,49.9125,304.673081805,301.81844298,-0.9369514392568
"p__Acidobacteriota_lt_250_3","p__Acidobacteriota_lt_50_2",50,0.0132,6.2131,0.2031,16,34.3685,304.673081805,300.897597722,-1.23919187761274
"p__Acidobacteriota_lt_250_3","ref_tree",636,0.1684,92.5904,2.2608,190,710.3252,304.673081805,224.21641,-26.4075419227534
"p__Acidobacteriota_lt_30_2","p__Acidobacteriota_lt_50_2",16,0.0042,1.866,0.1438,5,34.1233,301.81844298,300.897597722,-0.305099068469121
"p__Acidobacteriota_lt_30_2","ref_tree",636,0.1684,89.8849,2.2426,191,700.9818,301.81844298,224.21641,-25.7114947031724
"p__Acidobacteriota_lt_50_2","ref_tree",644,0.1706,89.0787,2.194,199,695.1534,300.897597722,224.21641,-25.4841475314289
